company,date,title,status,location,recommend,outlook,ceo,pros,cons,adviceManag
 Tesla Reviews," Feb 9, 2017","""Interessante Herausforderung und nie langweilig!""",Current Employee - Sales Advisor,Hannover (Germany),Recommends,Positive Outlook,Approves of,Es ist ein wachsendes und sehr dynamisches Unternehmen (ich kann nur für Deutschland /Store Hannover) sprechen. Ich bin immer wieder sehr überrascht wie schnell Problem angegangen und gemeinsam gelöst werden. Die Kollegen sind ein echtes Team und packen alle mit an.,Die Ressourcen und Potentiale könnten noch besser ausgeschöpft werden.,Ressourcen und Potentiale noch besser ausschöpfen.
 Tesla Reviews," Jan 18, 2017","""Arbeitsatmosphäre ist schlecht""",Former Employee - Berater Service,Cham (Switzerland),Doesn't Recommend,Neutral Outlook,Approves of,"gute Firma, Arbeit ist schön aufgeteilt, Kunden sind nett","unkompetente Führungskräfte, negative Atmosphäre, sehr junge Chefs",NI
 Tesla Reviews," Jan 13, 2017","""Never ending story""",Current Employee - Delivery Specialist,Tilburg (Netherlands),Doesn't Recommend,Neutral Outlook,Disapproves of,Nieuw en trendy. Elektrisch rijden is totaal hip en het is leuk als je bij zo'n innoverend bedrijf mag werken,Elke kwartaal hebben zij een push waarbij iedereen alles geeft maar dit word totaal niet gewaardeerd door het bedrijf.De managers zijn verschrikkelijk. Vele worden manager gemaakt terwijl dit nooit had gemogen en ze verpesten het helemaal. Er is geen oog voor de werknemers enkel voor zichzelf omdat ze zichzelf willen bewijzen.Verder is er heel veel vriendjespolitiek iets wat je niet zou verwachten maar toch is het zo,"Waardeer je werknemers laat dit zien en niet enkel door die aandelen maar iedereen werkt zich kapot om er iets van te maken maar er is bijna nooit een etentje, een bonus, doorgroei mogelijk heden, carriere plan en de vele manager die het niet waard zijn maken het leven van de werknemers onmogelijk"
 Tesla Reviews," Nov 23, 2016","""Meine Meinung zu Tesla als Arbeitgeber""",Current Employee - Service Manager,Bern (Switzerland),Recommends,Positive Outlook,Approves of,Junges Dynamisches Unternehmen mit viel Steigerungs Potential,Keine Negative Bewertung die ich zu Tesla sagen kann.,NI
 Tesla Reviews," Nov 25, 2016","""TESLAMAZING""",Current Employee - Anonymous Employee,NI,Recommends,Positive Outlook,Approves of,"Goede werkomstandigheden en innovatie, helemaal top!","Geen minpunten te bedenken, het is een topbedrijf!",NI
 Tesla Reviews," Oct 21, 2016","""Experience""",Current Employee - Anonymous Employee,NI,Doesn't Recommend,Positive Outlook,NI,- enjeux et dynamiques valorisants- produits leaders sur le marché- évolution rapide,- 0 équilibre vie privée-vie pro- remuneration en dessous du marché- turn over- direction qui ne fait pas évoluer en competences ni à l'écoute des salariés- rythme de travail difficile,NI
 Tesla Reviews," Jun 10, 2016","""Innovatief bedrijf""",Former Employee - Receptionist,Amsterdam (Netherlands),Recommends,Positive Outlook,NI,* Internationale omgeving* Voertaal Engels* Gezellig* Innovatief bedrijf,* Bij Sommige afdelingen komen en gaan er veel medewerkers* Geen parkeerplaats voor medewerkers (maar word wel aan gewerkt),Investeer tijd en motiveer de medewerkers die je hebt. Probeer als mensen met elkaar te praten en niet commanderen.
 Tesla Reviews," May 13, 2016","""Product Specialist""",Current Employee - Product Specialist,"Munich, Bayern (Germany)",Recommends,Positive Outlook,Approves of,*Awesome company vison and style*Still kind of a start-up so you can actually help build the company*Dynamic environement*Young team spirit,*Overtime is common but this is normal in an upcoming company*Work-life balance,More training
 Tesla Reviews," Mar 12, 2016","""Functie review""",Former Employee - Anonymous Employee,NI,Doesn't Recommend,Neutral Outlook,No opinion of,Innovatief en een jong bedrijf,"werkdruk hoog, constante wijzigingen en geen lange termijn strategie",NI
 Tesla Reviews," Jan 20, 2016","""Sales Advisor""",Former Employee - Inside Sales Advisor,"Munich, Bayern (Germany)",Doesn't Recommend,Positive Outlook,Approves of,Sehr nette und ausgesprochen kompetente Kollegen / bei genügend Verkäufen auch ein annehmbares Auskommen. Gute Kundenkontakte mit sehr netten Menschen auskommen ohne Verkäufe 36000 p.a.,Kaum Freizeit bis zu 80h die Woche im Büro sind gewünscht !!! Bezahlung ist stark abhängig vom Verkauf was bei keiner bis nur wenig Unterstützung sehr schwer bis unmöglich ist ( Fahrzeuge defekt oder nicht verfügbar etc. ( Kunde soll einfach etwas anderes Probefahren oder kürzer als eigentlich gewünscht ((( Und dieses Sache mit den Überstunden keiner kann 80h die Woche arbeiten ))) Die Führungskräfte kommen aus allen möglichen Bereichen was teils sehr gut läuft und frischen Wind in Branche bringt! In meinen Fall allerdings völlig daneben ging bin letztendlich ( und bis Heute sage ich leider ) auch gegangen da eine weitere Zusammenarbeit mit solchen Vorgesetzten keinen Sinn mehr gehabt hätte,Alleingänger werden in Ihrem unternehmen vor allem als Niederlassungsleiter nicht lange überleben !
